"date","geography","geography code","Age: All categories: Age; Sex: All persons; measures: Value","Age: All categories: Age; Sex: Males; measures: Value","Age: All categories: Age; Sex: Females; measures: Value","Age: Age 0 to 4; Sex: All persons; measures: Value","Age: Age 0 to 4; Sex: Males; measures: Value","Age: Age 0 to 4; Sex: Females; measures: Value","Age: Age 5 to 9; Sex: All persons; measures: Value","Age: Age 5 to 9; Sex: Males; measures: Value","Age: Age 5 to 9; Sex: Females; measures: Value","Age: Age 10 to 15; Sex: All persons; measures: Value","Age: Age 10 to 15; Sex: Males; measures: Value","Age: Age 10 to 15; Sex: Females; measures: Value","Age: Age 16 to 19; Sex: All persons; measures: Value","Age: Age 16 to 19; Sex: Males; measures: Value","Age: Age 16 to 19; Sex: Females; measures: Value","Age: Age 20 to 24; Sex: All persons; measures: Value","Age: Age 20 to 24; Sex: Males; measures: Value","Age: Age 20 to 24; Sex: Females; measures: Value","Age: Age 25 to 29; Sex: All persons; measures: Value","Age: Age 25 to 29; Sex: Males; measures: Value","Age: Age 25 to 29; Sex: Females; measures: Value","Age: Age 30 to 34; Sex: All persons; measures: Value","Age: Age 30 to 34; Sex: Males; measures: Value","Age: Age 30 to 34; Sex: Females; measures: Value","Age: Age 35 to 39; Sex: All persons; measures: Value","Age: Age 35 to 39; Sex: Males; measures: Value","Age: Age 35 to 39; Sex: Females; measures: Value","Age: Age 40 to 44; Sex: All persons; measures: Value","Age: Age 40 to 44; Sex: Males; measures: Value","Age: Age 40 to 44; Sex: Females; measures: Value","Age: Age 45 to 49; Sex: All persons; measures: Value","Age: Age 45 to 49; Sex: Males; measures: Value","Age: Age 45 to 49; Sex: Females; measures: Value","Age: Age 50 to 54; Sex: All persons; measures: Value","Age: Age 50 to 54; Sex: Males; measures: Value","Age: Age 50 to 54; Sex: Females; measures: Value","Age: Age 55 to 59; Sex: All persons; measures: Value","Age: Age 55 to 59; Sex: Males; measures: Value","Age: Age 55 to 59; Sex: Females; measures: Value","Age: Age 60 to 64; Sex: All persons; measures: Value","Age: Age 60 to 64; Sex: Males; measures: Value","Age: Age 60 to 64; Sex: Females; measures: Value","Age: Age 65 to 69; Sex: All persons; measures: Value","Age: Age 65 to 69; Sex: Males; measures: Value","Age: Age 65 to 69; Sex: Females; measures: Value","Age: Age 70 to 74; Sex: All persons; measures: Value","Age: Age 70 to 74; Sex: Males; measures: Value","Age: Age 70 to 74; Sex: Females; measures: Value","Age: Age 75 to 79; Sex: All persons; measures: Value","Age: Age 75 to 79; Sex: Males; measures: Value","Age: Age 75 to 79; Sex: Females; measures: Value","Age: Age 80 to 84; Sex: All persons; measures: Value","Age: Age 80 to 84; Sex: Males; measures: Value","Age: Age 80 to 84; Sex: Females; measures: Value","Age: Age 85 and over; Sex: All persons; measures: Value","Age: Age 85 and over; Sex: Males; measures: Value","Age: Age 85 and over; Sex: Females; measures: Value"
"2011","RG - Reading","RG - Reading",782378,391967,390411,53263,27315,25948,45898,23469,22429,57208,29644,27564,38023,19585,18438,45937,23339,22598,51624,26065,25559,55006,27596,27410,58481,29743,28738,63290,32237,31053,61731,31487,30244,52285,27067,25218,43540,21888,21652,44404,21938,22466,33960,16451,17509,26430,12790,13640,21149,9761,11388,15484,6632,8852,14665,4960,9705
"2011","RH - Redhill","RH - Redhill",535628,261126,274502,33493,17291,16202,31077,15837,15240,39801,20622,19179,25013,12756,12257,27854,14092,13762,33035,16424,16611,34919,17072,17847,36462,17349,19113,41001,19751,21250,41605,20435,21170,36385,17895,18490,31891,15738,16153,33689,16620,17069,25480,12359,13121,19620,9268,10352,16979,7568,9411,13860,5726,8134,13464,4323,9141
"2011","RM - Romford","RM - Romford",459127,223019,236108,38571,19583,18988,33309,17096,16213,39985,20379,19606,25610,13098,12512,27122,13770,13352,27043,13167,13876,27130,12883,14247,28303,13656,14647,30817,14981,15836,30915,15215,15700,27663,13955,13708,24153,12096,12057,25092,12362,12730,19264,9073,10191,16632,7443,9189,14756,6223,8533,11988,4674,7314,10774,3365,7409
"2011","S - Sheffield","S - Sheffield",1331112,650338,680774,80906,41380,39526,73546,37539,36007,93591,47737,45854,74970,37621,37349,99002,49598,49404,82757,40533,42224,76641,37865,38776,82183,40106,42077,97263,47568,49695,94986,47053,47933,86112,42683,43429,76433,38002,38431,81727,40227,41500,68550,33342,35208,55795,26416,29379,44319,19697,24622,32514,13355,19159,29817,9616,20201
"2011","SE - London SE","SE - London SE",942799,467151,475648,77126,39368,37758,58525,29842,28683,64926,32991,31935,44337,22501,21836,72885,35416,37469,86942,41993,44949,87787,42733,45054,77196,39082,38114,74665,38317,36348,70470,35760,34710,57762,29495,28267,43357,21814,21543,37041,18717,18324,26341,12711,13630,21782,9992,11790,17105,7576,9529,12764,5111,7653,11788,3732,8056
"2011","SG - Stevenage","SG - Stevenage",370562,181545,189017,26055,13390,12665,23766,12121,11645,29893,15346,14547,18931,9806,9125,19127,10054,9073,20356,10400,9956,20803,10281,10522,23385,11073,12312,27254,12961,14293,28461,13792,14669,24768,12190,12578,21160,10417,10743,23077,11234,11843,18385,8954,9431,14573,6990,7583,12684,5821,6863,9091,3861,5230,8793,2854,5939
"2011","SK - Stockport","SK - Stockport",572853,280120,292733,35741,18337,17404,33313,17160,16153,43306,22149,21157,28169,14655,13514,31437,15866,15571,31986,15952,16034,31767,15989,15778,35332,17394,17938,41671,20410,21261,43073,21056,22017,38039,18848,19191,33852,16647,17205,38447,18770,19677,30616,14798,15818,25514,11967,13547,20716,9296,11420,15591,6308,9283,14283,4518,9765
"2011","SL - Slough","SL - Slough",381565,189540,192025,27139,13843,13296,23829,12301,11528,28557,14748,13809,17887,9144,8743,21230,10684,10546,27417,13358,14059,29931,15003,14928,29254,15150,14104,29599,15073,14526,28327,14365,13962,23890,11960,11930,20360,10180,10180,20036,9922,10114,15210,7273,7937,12649,5915,6734,10631,4810,5821,8011,3304,4707,7608,2507,5101
"2011","SM - Sutton","SM - Sutton",184085,86522,97563,14091,7191,6900,12649,6365,6284,15989,8186,7803,9455,4956,4499,9507,4712,4795,10740,5152,5588,11411,5362,6049,11410,5079,6331,12849,5750,7099,13013,5818,7195,11070,5163,5907,9359,4357,5002,10484,4782,5702,8499,3965,4534,7267,3309,3958,6322,2777,3545,4973,2009,2964,4997,1589,3408
"2011","SN - Swindon","SN - Swindon",445019,220470,224549,28902,14786,14116,26914,13829,13085,34516,17604,16912,21918,11177,10741,23325,11971,11354,25871,12938,12933,26275,13138,13137,30765,15309,15456,34917,17372,17545,35152,17667,17485,30228,15259,14969,26053,12959,13094,27284,13411,13873,21753,10698,11055,17090,8197,8893,13905,6457,7448,10454,4437,6017,9697,3261,6436
